Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,java-10lines.java,53428,54165,54186,54185,
1,-t -p -o -c ,java-10lines.java,19,73,74,74,
2,-t -p -o -c ,java-10lines.java,12,51,53,53,
3,-t -p -o -c ,java-10lines.java,15,86,88,88,
4,-t -p -o -c ,java-100lines.java,25,1147,1160,1159,
5,-t -p -o -c ,java-100lines.java,18,215,229,228,
6,-t -p -o -c ,java-100lines.java,16,174,184,183,
7,-t -p -o -c ,java-100lines.java,20,188,196,195,
8,-t -p -o -c ,java-1000lines.java,78,2329,2416,2385,
9,-t -p -o -c ,java-1000lines.java,42,1956,2019,1999,
10,-t -p -o -c ,java-1000lines.java,61,1949,2013,1993,
11,-t -p -o -c ,java-1000lines.java,49,1942,2002,1989,
12,-t -p -c ,java-10lines.java,53366,54045, ,54062,
13,-t -p -c ,java-10lines.java,15,50, ,52,
14,-t -p -c ,java-10lines.java,15,64, ,65,
15,-t -p -c ,java-10lines.java,13,49, ,51,
16,-t -p -c ,java-100lines.java,29,1242, ,1251,
17,-t -p -c ,java-100lines.java,19,244, ,257,
18,-t -p -c ,java-100lines.java,15,186, ,193,
19,-t -p -c ,java-100lines.java,15,231, ,239,
20,-t -p -c ,java-1000lines.java,79,2267, ,2316,
21,-t -p -c ,java-1000lines.java,43,1945, ,1987,
22,-t -p -c ,java-1000lines.java,44,1979, ,2022,
23,-t -p -c ,java-1000lines.java,44,2007, ,2049,
24,-t -p -o ,java-10lines.java,54914,55511,55527, ,
25,-t -p -o ,java-10lines.java,16,282,284, ,
26,-t -p -o ,java-10lines.java,17,96,98, ,
27,-t -p -o ,java-10lines.java,13,49,51, ,
28,-t -p -o ,java-100lines.java,23,1306,1325, ,
29,-t -p -o ,java-100lines.java,20,249,269, ,
30,-t -p -o ,java-100lines.java,15,181,189, ,
31,-t -p -o ,java-100lines.java,16,198,206, ,
32,-t -p -o ,java-1000lines.java,72,2420,2468, ,
33,-t -p -o ,java-1000lines.java,56,2026,2072, ,
34,-t -p -o ,java-1000lines.java,46,2062,2106, ,
35,-t -p -o ,java-1000lines.java,56,2053,2096, ,
36,-p -o -c ,java-10lines.java, ,54384,54396,54396,
37,-p -o -c ,java-10lines.java, ,53,55,55,
38,-p -o -c ,java-10lines.java, ,80,82,82,
39,-p -o -c ,java-10lines.java, ,52,54,54,
40,-p -o -c ,java-100lines.java, ,1289,1301,1300,
41,-p -o -c ,java-100lines.java, ,244,258,256,
42,-p -o -c ,java-100lines.java, ,192,206,201,
43,-p -o -c ,java-100lines.java, ,208,219,216,
44,-p -o -c ,java-1000lines.java, ,2417,2480,2474,
45,-p -o -c ,java-1000lines.java, ,2112,2178,2158,
46,-p -o -c ,java-1000lines.java, ,2119,2185,2164,
47,-p -o -c ,java-1000lines.java, ,2358,2423,2402,
48,-p -c ,java-10lines.java, ,55557, ,55576,
49,-p -c ,java-10lines.java, ,75, ,77,
50,-p -c ,java-10lines.java, ,64, ,66,
51,-p -c ,java-10lines.java, ,50, ,52,
52,-p -c ,java-100lines.java, ,1214, ,1225,
53,-p -c ,java-100lines.java, ,230, ,240,
54,-p -c ,java-100lines.java, ,181, ,188,
55,-p -c ,java-100lines.java, ,187, ,194,
56,-p -c ,java-1000lines.java, ,2242, ,2289,
57,-p -c ,java-1000lines.java, ,2096, ,2149,
58,-p -c ,java-1000lines.java, ,2073, ,2115,
59,-p -c ,java-1000lines.java, ,1960, ,2006,
60,-p -o ,java-10lines.java, ,53151,53166, ,
61,-p -o ,java-10lines.java, ,122,124, ,
62,-p -o ,java-10lines.java, ,64,65, ,
63,-p -o ,java-10lines.java, ,49,54, ,
64,-p -o ,java-100lines.java, ,1292,1302, ,
65,-p -o ,java-100lines.java, ,250,258, ,
66,-p -o ,java-100lines.java, ,177,185, ,
67,-p -o ,java-100lines.java, ,188,196, ,
68,-p -o ,java-1000lines.java, ,2204,2260, ,
69,-p -o ,java-1000lines.java, ,1945,1991, ,
70,-p -o ,java-1000lines.java, ,1948,1992, ,
71,-p -o ,java-1000lines.java, ,2019,2062, ,
72,-t -p ,java-10lines.java,51606,52270, , ,
73,-t -p ,java-10lines.java,13,79, , ,
74,-t -p ,java-10lines.java,12,68, , ,
75,-t -p ,java-10lines.java,15,50, , ,
76,-t -p ,java-100lines.java,27,1304, , ,
77,-t -p ,java-100lines.java,17,217, , ,
78,-t -p ,java-100lines.java,16,175, , ,
79,-t -p ,java-100lines.java,15,184, , ,
80,-t -p ,java-1000lines.java,80,2341, , ,
81,-t -p ,java-1000lines.java,74,1970, , ,
82,-t -p ,java-1000lines.java,64,1954, , ,
83,-t -p ,java-1000lines.java,50,1953, , ,
