Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,javascript-10lines.java,49756,49788,49806,49807,
1,-t -p -o -c ,javascript-10lines.java,25,27,30,30,
2,-t -p -o -c ,javascript-10lines.java,23,24,27,26,
3,-t -p -o -c ,javascript-10lines.java,17,23,25,25,
4,-t -p -o -c ,javascript-100lines.java,103,137,146,146,
5,-t -p -o -c ,javascript-100lines.java,50,68,77,76,
6,-t -p -o -c ,javascript-100lines.java,50,47,52,52,
7,-t -p -o -c ,javascript-100lines.java,49,51,57,56,
8,-t -p -o -c ,javascript-100lines.java,338,649,693,692,
9,-t -p -o -c ,javascript-100lines.java,237,282,318,307,
10,-t -p -o -c ,javascript-100lines.java,250,282,308,301,
11,-t -p -o -c ,javascript-100lines.java,342,378,406,397,
12,-t -p -c ,javascript-10lines.java,50515,50543, ,50555,
13,-t -p -c ,javascript-10lines.java,51,50, ,53,
14,-t -p -c ,javascript-10lines.java,23,22, ,24,
15,-t -p -c ,javascript-10lines.java,20,22, ,24,
16,-t -p -c ,javascript-100lines.java,101,135, ,143,
17,-t -p -c ,javascript-100lines.java,72,74, ,81,
18,-t -p -c ,javascript-100lines.java,60,66, ,70,
19,-t -p -c ,javascript-100lines.java,44,61, ,66,
20,-t -p -c ,javascript-100lines.java,570,619, ,652,
21,-t -p -c ,javascript-100lines.java,279,295, ,317,
22,-t -p -c ,javascript-100lines.java,250,277, ,297,
23,-t -p -c ,javascript-100lines.java,241,267, ,284,
24,-t -p -o ,javascript-10lines.java,49152,49181,49192, ,
25,-t -p -o ,javascript-10lines.java,31,32,34, ,
26,-t -p -o ,javascript-10lines.java,17,19,21, ,
27,-t -p -o ,javascript-10lines.java,25,25,28, ,
28,-t -p -o ,javascript-100lines.java,122,151,157, ,
29,-t -p -o ,javascript-100lines.java,63,70,77, ,
30,-t -p -o ,javascript-100lines.java,47,57,61, ,
31,-t -p -o ,javascript-100lines.java,46,48,53, ,
32,-t -p -o ,javascript-100lines.java,639,672,710, ,
33,-t -p -o ,javascript-100lines.java,268,300,320, ,
34,-t -p -o ,javascript-100lines.java,252,286,307, ,
35,-t -p -o ,javascript-100lines.java,239,267,285, ,
36,-p -o -c ,javascript-10lines.java, ,49717,49730,49731,
37,-p -o -c ,javascript-10lines.java, ,29,31,31,
38,-p -o -c ,javascript-10lines.java, ,20,21,21,
39,-p -o -c ,javascript-10lines.java, ,24,27,27,
40,-p -o -c ,javascript-100lines.java, ,136,144,145,
41,-p -o -c ,javascript-100lines.java, ,56,63,64,
42,-p -o -c ,javascript-100lines.java, ,50,59,56,
43,-p -o -c ,javascript-100lines.java, ,48,53,53,
44,-p -o -c ,javascript-100lines.java, ,594,643,643,
45,-p -o -c ,javascript-100lines.java, ,320,357,342,
46,-p -o -c ,javascript-100lines.java, ,258,287,281,
47,-p -o -c ,javascript-100lines.java, ,260,288,281,
48,-p -c ,javascript-10lines.java, ,49318, ,49335,
49,-p -c ,javascript-10lines.java, ,29, ,32,
50,-p -c ,javascript-10lines.java, ,19, ,22,
51,-p -c ,javascript-10lines.java, ,20, ,22,
52,-p -c ,javascript-100lines.java, ,99, ,108,
53,-p -c ,javascript-100lines.java, ,80, ,85,
54,-p -c ,javascript-100lines.java, ,49, ,54,
55,-p -c ,javascript-100lines.java, ,50, ,53,
56,-p -c ,javascript-100lines.java, ,657, ,689,
57,-p -c ,javascript-100lines.java, ,265, ,287,
58,-p -c ,javascript-100lines.java, ,251, ,269,
59,-p -c ,javascript-100lines.java, ,262, ,288,
60,-p -o ,javascript-10lines.java, ,50764,50775, ,
61,-p -o ,javascript-10lines.java, ,25,26, ,
62,-p -o ,javascript-10lines.java, ,19,21, ,
63,-p -o ,javascript-10lines.java, ,19,20, ,
64,-p -o ,javascript-100lines.java, ,142,150, ,
65,-p -o ,javascript-100lines.java, ,73,79, ,
66,-p -o ,javascript-100lines.java, ,71,75, ,
67,-p -o ,javascript-100lines.java, ,52,62, ,
68,-p -o ,javascript-100lines.java, ,639,667, ,
69,-p -o ,javascript-100lines.java, ,285,312, ,
70,-p -o ,javascript-100lines.java, ,269,289, ,
71,-p -o ,javascript-100lines.java, ,268,286, ,
72,-t -p ,javascript-10lines.java,49815,49851, , ,
73,-t -p ,javascript-10lines.java,34,29, , ,
74,-t -p ,javascript-10lines.java,31,32, , ,
75,-t -p ,javascript-10lines.java,18,22, , ,
76,-t -p ,javascript-100lines.java,115,153, , ,
77,-t -p ,javascript-100lines.java,47,76, , ,
78,-t -p ,javascript-100lines.java,40,51, , ,
79,-t -p ,javascript-100lines.java,39,50, , ,
80,-t -p ,javascript-100lines.java,319,923, , ,
81,-t -p ,javascript-100lines.java,322,304, , ,
82,-t -p ,javascript-100lines.java,322,350, , ,
83,-t -p ,javascript-100lines.java,247,283, , ,
84,-p ,javascript-10lines.java, ,49945, , ,
85,-p ,javascript-10lines.java, ,26, , ,
86,-p ,javascript-10lines.java, ,28, , ,
87,-p ,javascript-10lines.java, ,18, , ,
88,-p ,javascript-100lines.java, ,115, , ,
89,-p ,javascript-100lines.java, ,75, , ,
90,-p ,javascript-100lines.java, ,53, , ,
91,-p ,javascript-100lines.java, ,45, , ,
92,-p ,javascript-100lines.java, ,756, , ,
93,-p ,javascript-100lines.java, ,291, , ,
94,-p ,javascript-100lines.java, ,260, , ,
95,-p ,javascript-100lines.java, ,255, , ,
96,-t ,javascript-10lines.java,49475, , , ,
97,-t ,javascript-10lines.java,22, , , ,
98,-t ,javascript-10lines.java,21, , , ,
99,-t ,javascript-10lines.java,20, , , ,
100,-t ,javascript-100lines.java,80, , , ,
101,-t ,javascript-100lines.java,44, , , ,
102,-t ,javascript-100lines.java,38, , , ,
103,-t ,javascript-100lines.java,45, , , ,
104,-t ,javascript-100lines.java,259, , , ,
105,-t ,javascript-100lines.java,226, , , ,
106,-t ,javascript-100lines.java,228, , , ,
107,-t ,javascript-100lines.java,223, , , ,
