Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,python-10lines.py,544,593,610,618,
1,-t -p -o -c ,python-10lines.py,12,20,23,23,
2,-t -p -o -c ,python-10lines.py,7,16,20,20,
3,-t -p -o -c ,python-10lines.py,10,24,28,26,
4,-t -p -o -c ,python-100lines.py,62,118,131,133,
5,-t -p -o -c ,python-100lines.py,69,90,105,103,
6,-t -p -o -c ,python-100lines.py,55,71,79,77,
7,-t -p -o -c ,python-100lines.py,26,41,49,48,
8,-t -p -o -c ,python-1000lines.py,280,615,716,697,
9,-t -p -o -c ,python-1000lines.py,284,473,559,542,
10,-t -p -o -c ,python-1000lines.py,265,425,507,491,
11,-t -p -o -c ,python-1000lines.py,268,600,700,680,
12,-t -p -c ,python-10lines.py,544,579, ,607,
13,-t -p -c ,python-10lines.py,9,17, ,21,
14,-t -p -c ,python-10lines.py,7,16, ,22,
15,-t -p -c ,python-10lines.py,6,14, ,16,
16,-t -p -c ,python-100lines.py,73,140, ,156,
17,-t -p -c ,python-100lines.py,42,54, ,65,
18,-t -p -c ,python-100lines.py,30,47, ,59,
19,-t -p -c ,python-100lines.py,22,53, ,68,
20,-t -p -c ,python-1000lines.py,320,577, ,662,
21,-t -p -c ,python-1000lines.py,346,547, ,616,
22,-t -p -c ,python-1000lines.py,279,466, ,532,
23,-t -p -c ,python-1000lines.py,376,662, ,735,
24,-t -p -o ,python-10lines.py,527,609,629, ,
25,-t -p -o ,python-10lines.py,10,17,19, ,
26,-t -p -o ,python-10lines.py,8,18,20, ,
27,-t -p -o ,python-10lines.py,10,14,16, ,
28,-t -p -o ,python-100lines.py,74,117,133, ,
29,-t -p -o ,python-100lines.py,43,66,75, ,
30,-t -p -o ,python-100lines.py,35,53,61, ,
31,-t -p -o ,python-100lines.py,27,43,49, ,
32,-t -p -o ,python-1000lines.py,397,639,733, ,
33,-t -p -o ,python-1000lines.py,378,511,581, ,
34,-t -p -o ,python-1000lines.py,282,478,543, ,
35,-t -p -o ,python-1000lines.py,291,595,666, ,
36,-p -o -c ,python-10lines.py, ,614,633,634,
37,-p -o -c ,python-10lines.py, ,23,25,26,
38,-p -o -c ,python-10lines.py, ,18,21,21,
39,-p -o -c ,python-10lines.py, ,20,25,24,
40,-p -o -c ,python-100lines.py, ,112,129,125,
41,-p -o -c ,python-100lines.py, ,82,94,92,
42,-p -o -c ,python-100lines.py, ,53,65,65,
43,-p -o -c ,python-100lines.py, ,45,54,53,
44,-p -o -c ,python-1000lines.py, ,494,646,603,
45,-p -o -c ,python-1000lines.py, ,507,601,580,
46,-p -o -c ,python-1000lines.py, ,411,498,479,
47,-p -o -c ,python-1000lines.py, ,467,598,570,
48,-p -c ,python-10lines.py, ,574, ,592,
49,-p -c ,python-10lines.py, ,19, ,21,
50,-p -c ,python-10lines.py, ,15, ,18,
51,-p -c ,python-10lines.py, ,9, ,12,
52,-p -c ,python-100lines.py, ,109, ,120,
53,-p -c ,python-100lines.py, ,92, ,99,
54,-p -c ,python-100lines.py, ,45, ,53,
55,-p -c ,python-100lines.py, ,42, ,48,
56,-p -c ,python-1000lines.py, ,532, ,632,
57,-p -c ,python-1000lines.py, ,464, ,530,
58,-p -c ,python-1000lines.py, ,495, ,565,
59,-p -c ,python-1000lines.py, ,470, ,548,
60,-p -o ,python-10lines.py, ,554,568, ,
61,-p -o ,python-10lines.py, ,18,21, ,
62,-p -o ,python-10lines.py, ,12,14, ,
63,-p -o ,python-10lines.py, ,10,13, ,
64,-p -o ,python-100lines.py, ,92,108, ,
65,-p -o ,python-100lines.py, ,79,88, ,
66,-p -o ,python-100lines.py, ,48,56, ,
67,-p -o ,python-100lines.py, ,37,45, ,
68,-p -o ,python-1000lines.py, ,534,615, ,
69,-p -o ,python-1000lines.py, ,434,503, ,
70,-p -o ,python-1000lines.py, ,440,504, ,
71,-p -o ,python-1000lines.py, ,458,548, ,
72,-t -p ,python-10lines.py,533,604, , ,
73,-t -p ,python-10lines.py,14,21, , ,
74,-t -p ,python-10lines.py,7,17, , ,
75,-t -p ,python-10lines.py,7,10, , ,
76,-t -p ,python-100lines.py,81,129, , ,
77,-t -p ,python-100lines.py,62,88, , ,
78,-t -p ,python-100lines.py,31,49, , ,
79,-t -p ,python-100lines.py,27,46, , ,
80,-t -p ,python-1000lines.py,368,588, , ,
81,-t -p ,python-1000lines.py,328,475, , ,
82,-t -p ,python-1000lines.py,265,442, , ,
83,-t -p ,python-1000lines.py,259,480, , ,
84,-p ,python-10lines.py, ,572, , ,
85,-p ,python-10lines.py, ,20, , ,
86,-p ,python-10lines.py, ,19, , ,
87,-p ,python-10lines.py, ,13, , ,
88,-p ,python-100lines.py, ,93, , ,
89,-p ,python-100lines.py, ,76, , ,
90,-p ,python-100lines.py, ,57, , ,
91,-p ,python-100lines.py, ,40, , ,
92,-p ,python-1000lines.py, ,599, , ,
93,-p ,python-1000lines.py, ,459, , ,
94,-p ,python-1000lines.py, ,435, , ,
95,-p ,python-1000lines.py, ,462, , ,
96,-t ,python-10lines.py,493, , , ,
97,-t ,python-10lines.py,11, , , ,
98,-t ,python-10lines.py,9, , , ,
99,-t ,python-10lines.py,7, , , ,
100,-t ,python-100lines.py,67, , , ,
101,-t ,python-100lines.py,40, , , ,
102,-t ,python-100lines.py,31, , , ,
103,-t ,python-100lines.py,22, , , ,
104,-t ,python-1000lines.py,268, , , ,
105,-t ,python-1000lines.py,239, , , ,
106,-t ,python-1000lines.py,229, , , ,
107,-t ,python-1000lines.py,219, , , ,
