Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,10lines,443,1050,1074,1076
1,-t -p -o -c ,10lines,3,101,105,105
2,-t -p -o -c ,100lines,18,1258,1277,1271
3,-t -p -o -c ,100lines,10,199,216,211
4,-t -p -o -c ,1000lines,89,2378,2498,2470
5,-t -p -o -c ,1000lines,46,1953,2047,2024
6,-t -p -c ,10lines,448,1156, ,1177
7,-t -p -c ,10lines,3,87, ,89
8,-t -p -c ,100lines,23,1282, ,1292
9,-t -p -c ,100lines,10,192, ,203
10,-t -p -c ,1000lines,88,2361, ,2442
11,-t -p -c ,1000lines,48,1981, ,2042
12,-t -p -o ,10lines,440,1143,1161, 
13,-t -p -o ,10lines,3,87,89, 
14,-t -p -o ,100lines,24,1144,1159, 
15,-t -p -o ,100lines,7,199,213, 
16,-t -p -o ,1000lines,90,2227,2305, 
17,-t -p -o ,1000lines,44,1965,2027, 
18,-p -o -c ,10lines, ,1149,1165,1166
19,-p -o -c ,10lines, ,85,87,87
20,-p -o -c ,100lines, ,1235,1252,1252
21,-p -o -c ,100lines, ,201,215,214
22,-p -o -c ,1000lines, ,2308,2417,2391
23,-p -o -c ,1000lines, ,1957,2046,2026
24,-p -c ,10lines, ,1147, ,1162
25,-p -c ,10lines, ,68, ,70
26,-p -c ,100lines, ,1253, ,1264
27,-p -c ,100lines, ,240, ,252
28,-p -c ,1000lines, ,2360, ,2434
29,-p -c ,1000lines, ,2009, ,2069
30,-p -o ,10lines, ,1051,1068, 
31,-p -o ,10lines, ,99,101, 
32,-p -o ,100lines, ,1265,1276, 
33,-p -o ,100lines, ,202,211, 
34,-p -o ,1000lines, ,2271,2347, 
35,-p -o ,1000lines, ,1967,2031, 
36,-t -p ,10lines,440,1172, , 
37,-t -p ,10lines,3,70, , 
38,-t -p ,100lines,29,1153, , 
39,-t -p ,100lines,12,182, , 
40,-t -p ,1000lines,81,2162, , 
41,-t -p ,1000lines,78,2227, , 
42,-p ,10lines, ,1148, , 
43,-p ,10lines, ,193, , 
44,-p ,100lines, ,1410, , 
45,-p ,100lines, ,184, , 
46,-p ,1000lines, ,2449, , 
47,-p ,1000lines, ,2058, , 
48,-t ,10lines,445, , , 
49,-t ,10lines,3, , , 
50,-t ,100lines,41, , , 
51,-t ,100lines,11, , , 
52,-t ,1000lines,76, , , 
53,-t ,1000lines,44, , , 
