Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,javascript-10lines.java,52604,52654,52669,52672,
1,-t -p -o -c ,javascript-10lines.java,29,32,34,34,
2,-t -p -o -c ,javascript-10lines.java,19,24,26,26,
3,-t -p -o -c ,javascript-10lines.java,22,22,24,25,
4,-t -p -o -c ,javascript-10lines.java,15,16,17,18,
5,-t -p -o -c ,javascript-10lines.java,18,16,19,19,
6,-t -p -o -c ,javascript-10lines.java,15,15,18,18,
7,-t -p -o -c ,javascript-10lines.java,17,17,19,19,
8,-t -p -o -c ,javascript-10lines.java,14,15,17,17,
9,-t -p -o -c ,javascript-10lines.java,23,24,25,25,
10,-t -p -o -c ,javascript-10lines.java,14,14,15,15,
11,-t -p -o -c ,javascript-10lines.java,15,15,17,17,
12,-t -p -o -c ,javascript-10lines.java,14,15,17,16,
13,-t -p -o -c ,javascript-10lines.java,14,14,15,15,
14,-t -p -o -c ,javascript-10lines.java,14,14,16,16,
15,-t -p -o -c ,javascript-10lines.java,14,14,15,16,
16,-t -p -o -c ,javascript-10lines.java,14,14,15,16,
17,-t -p -o -c ,javascript-10lines.java,15,15,16,16,
18,-t -p -o -c ,javascript-10lines.java,18,19,20,20,
19,-t -p -o -c ,javascript-10lines.java,15,15,16,16,
20,-t -p -o -c ,javascript-10lines.java,19,19,21,21,
21,-t -p -o -c ,javascript-10lines.java,17,17,18,18,
22,-t -p -o -c ,javascript-10lines.java,14,14,15,15,
23,-t -p -o -c ,javascript-10lines.java,16,17,18,18,
24,-t -p -o -c ,javascript-10lines.java,17,15,17,17,
25,-t -p -o -c ,javascript-10lines.java,14,15,17,16,
26,-t -p -o -c ,javascript-10lines.java,14,14,15,15,
27,-t -p -o -c ,javascript-10lines.java,21,23,23,23,
28,-t -p -o -c ,javascript-10lines.java,13,14,14,14,
29,-t -p -o -c ,javascript-10lines.java,16,14,15,15,
30,-t -p -o -c ,javascript-10lines.java,14,15,16,16,
31,-t -p -o -c ,javascript-10lines.java,15,17,18,18,
32,-t -p -o -c ,javascript-10lines.java,13,13,15,15,
33,-t -p -o -c ,javascript-10lines.java,14,14,15,15,
34,-t -p -o -c ,javascript-10lines.java,17,17,18,18,
35,-t -p -o -c ,javascript-10lines.java,15,16,17,17,
36,-t -p -o -c ,javascript-10lines.java,18,18,21,21,
37,-t -p -o -c ,javascript-10lines.java,15,16,17,17,
