Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
0,-t -p -o -c ,10lines,112,174,193,200
1,-t -p -o -c ,10lines,25,25,31,31
2,-t -p -o -c ,100lines,129,180,212,212
3,-t -p -o -c ,100lines,64,101,115,109
4,-t -p -o -c ,1000lines,442,774,907,869
5,-t -p -o -c ,1000lines,323,564,681,656
6,-t -p -c ,10lines,102,146, ,168
7,-t -p -c ,10lines,14,20, ,22
8,-t -p -c ,100lines,103,168, ,182
9,-t -p -c ,100lines,75,123, ,134
10,-t -p -c ,1000lines,451,653, ,768
11,-t -p -c ,1000lines,314,604, ,673
12,-t -p -o ,10lines,91,148,163, 
13,-t -p -o ,10lines,20,21,24, 
14,-t -p -o ,100lines,141,194,211, 
15,-t -p -o ,100lines,69,108,122, 
16,-t -p -o ,1000lines,424,716,844, 
17,-t -p -o ,1000lines,385,546,642, 
18,-p -o -c ,10lines, ,143,163,167
19,-p -o -c ,10lines, ,27,34,36
20,-p -o -c ,100lines, ,138,156,158
21,-p -o -c ,100lines, ,79,91,88
22,-p -o -c ,1000lines, ,568,679,660
23,-p -o -c ,1000lines, ,505,630,589
24,-p -c ,10lines, ,134, ,152
25,-p -c ,10lines, ,26, ,31
26,-p -c ,100lines, ,135, ,146
27,-p -c ,100lines, ,49, ,65
28,-p -c ,1000lines, ,634, ,747
29,-p -c ,1000lines, ,584, ,690
30,-p -o ,10lines, ,184,204, 
31,-p -o ,10lines, ,27,31, 
32,-p -o ,100lines, ,227,254, 
33,-p -o ,100lines, ,62,77, 
34,-p -o ,1000lines, ,678,772, 
35,-p -o ,1000lines, ,542,625, 
36,-t -p ,10lines,82,171, , 
37,-t -p ,10lines,13,20, , 
38,-t -p ,100lines,95,165, , 
39,-t -p ,100lines,51,70, , 
40,-t -p ,1000lines,447,703, , 
41,-t -p ,1000lines,368,595, , 
42,-p ,10lines, ,141, , 
43,-p ,10lines, ,51, , 
44,-p ,100lines, ,119, , 
45,-p ,100lines, ,54, , 
46,-p ,1000lines, ,639, , 
47,-p ,1000lines, ,551, , 
48,-t ,10lines,75, , , 
49,-t ,10lines,9, , , 
50,-t ,100lines,79, , , 
51,-t ,100lines,64, , , 
52,-t ,1000lines,284, , , 
53,-t ,1000lines,256, , , 
